id,filename,year
0,Silence.mp3,
1,11 I Ain't Got No Home In This World Anymore.mp3,1940
2,12 Mr_ Hitler.mp3,1942
3,"20 Lover Man (Oh, Where Can You Be_).mp3",1944
4,2-03 Someone To Watch Over Me.mp3,1946
5,09 Crawlin' Kingsnake.mp3,1948
6,2-17 Just Friends.mp3,1950
7,2-14 Take The _A_ Train.mp3,1952
8,08 Good Rockin' Tonight.mp3,1954
9,10 Roll Over Beethoven.mp3,1956
10,05 Love Me Or Leave Me.mp3,1958
11,04 Naima.mp3,1960
12,06 A Hard Rain's A-Gonna Fall.mp3,1963
13,14 Tomorrow Never Knows.mp3,1966
14,1 Space Oddity.mp3,1969
15,03 You And I.mp3,1972
16,09 War.mp3,1976
17,04 Breathing.mp3,1980
18,06 When Doves Cry.mp3,1984
19,11 Night Of The Living Baseheads.mp3,1988
20,2-06 Out Of Space.mp3,1992
21,02 Hotwax.mp3,1996
22,08 Idioteque.mp3,2000
23,04 All Falls Down.mp3,2004
24,09 Declare Independence.mp3,2008
25,10 Pyramids.mp3,2012
26,Silence.mp3,2016
27,Silence.mp3,2020
28,Silence.mp3,2026
29,Silence.mp3,2032
30,Silence.mp3,2038
31,Silence.mp3,2044
32,Silence.mp3,2052
33,Silence.mp3,2060
34,Silence.mp3,2068
35,Silence.mp3,2076
36,Silence.mp3,2084
37,Silence.mp3,2092
38,Silence.mp3,2100
39,Silence.mp3,2108
